accident_id,date ,time,latitude,longitude,no_of_vehicle,road_classification,collison_type,wheather_condition,light_condition,visibility,severnity,,,
202119393410013,18-04-2021,09:00:00,18.452097,73.829342,2,local road,vehicle to vehicle,sunny,day,50 m,grievous injury,grievous injury,,
202119393410014,11-01-2021,08:15:00,18.449303,73.832373,2,national highway,vehicle to vehicle,sunny,day,15 m,grievous injury,grievous injury,,
202119393410020,28-09-2021,15:05:00,18.463951,73.819222,2,national highway,vehicle to vehicle,sunny,day,25 m,fatal,fatal,,
202119393410022,17-08-2021, 08:30 AM,18.461316,73.821298,2,national highway,vehicle to vehicle,sunny,night,15 m,fatal,fatal,,
202119393410023,23-11-2021,10:30:00,18.461316,73.821298,2,local road,vehicle to vehicle,sunny,day,25 m,grievous injury,grievous injury,,
202119393410025,29-05-2021,16:30:00,18.460630,73.822867,1,local road,vehicle to vehicle,sunny,day,75 m,grievous injury,grievous injury,,
202119393410026,01-03-2021,10:00:00,18.460630,73.822867,2,local road,vehicle to vehicle,sunny,day,100 m,fatal,fatal,,
202119393410027,12-07-2021,17:15:00,18.460630,73.822867,1,local road,no collison,sunny,day,100 m,grievous injury,grievous injury,,
202119393410028,24-09-2021,17:30:00,18.460630,73.822867,2,local road,vehicle to vehicle,sunny,day,100 m,fatal,fatal,,
202119393410029,23-11-2021,09:30:00,18.460630,73.822897,2,local road,vehicle to object,sunny,day,100 m,simple injury,simple injury,,
202119393410041,15-06-2021,19:00:00,18.452562,73.828921,2,national highway,vehicle to vehicle,sunny,twilight,100 m,fatal,fatal,,
202119393410042,11-06-2021,15:00:00,18.452562,73.828921,2,local road,vehicle to vehicle,sunny,day,100 m,fatal,fatal,,
202119393410043,18-02-2021,16:30:00,18.457953,73.826365,2,national highway,vehicle to vehicle,sunny,day,75 m,fatal,fatal,,
202119393410044,25-01-2021,17:20:00,18.457953,73.826365,2,local road,vehicle to vehicle,sunny,twilight,100 m,fatal,fatal,,
202119393410045,05-10-2021,09:30:00,18.463156,73.819185,1,national highway,vehicle to pedestrian,sunny,day,100 m,grievous injury,grievous injury,,
202119393410047,26-09-2021,12:30:00,18.463449,73.819123,1,local road,vehicle to pedestrian,sunny,day,100 m,grievous injury,grievous injury,,
